Palabra,Repeticion,F0_Promedio,Intensidad_dB,F1_Hz,F2_Hz,MFCC1_Mean
terremoto,1,184.49089465669397,45.668378801636884,269.59524786498264,941.288989659332,94.50482233237433
terremoto,2,225.00061600701838,44.5166499058161,964.610274072442,1417.028706150359,86.47816834713115
terremoto,3,200.80467577001565,44.4577616354352,239.5813973424591,914.8658651327316,91.74555739174909
terremoto,4,225.6663496497856,46.04169260315101,248.50839165088672,941.1059842012642,102.64978077785415
terremoto,5,215.02367211150516,44.95403222176705,331.09046274297606,699.8561578852373,100.53629412117704
erupcion,1,219.73884678995978,45.60623550703814,640.0863443848868,1643.7718615429067,80.88745696435254
erupcion,2,259.56302007531286,45.164517115525285,1278.1737949189999,1983.7296537833433,79.77464865568129
erupcion,3,239.04163417655712,44.48402652469589,1293.1281242166172,1948.1870268614944,80.11779476884402
erupcion,4,250.78030624152294,44.63238954046612,1203.9552754831934,1969.8526686662904,72.2295611786115
erupcion,5,286.9473631805576,45.45736833918765,1347.3858068830139,2107.324922826761,70.731664495792
albergue,1,212.96841903760316,47.71830460232903,453.85672975909074,1133.4726191075285,65.27734351561632
albergue,2,245.28493225054396,43.20589768199562,254.45591522900315,1098.5682071333565,59.95194859846552
albergue,3,216.01472343114642,43.609507956111464,242.83047054811857,1524.8692801790453,62.59627021468699
albergue,4,229.8145256321032,44.44240446439723,514.0720573882994,1012.563862920984,68.18790716223191
albergue,5,224.35764746704905,45.50136246637814,600.6566591538003,860.3404418885772,49.88073326640882
codigo,1,234.8785891952563,48.74082566563896,297.1229892535848,1154.1642912556897,122.11417502177194
codigo,2,227.54916792004252,44.092137674040956,641.8443731435572,1682.4232412661634,107.81138476390252
codigo,3,222.14571591666854,40.61731391101581,395.76393359220083,1356.443652925196,101.10207797347219
codigo,4,258.8176324405486,43.984691987414095,504.64147098797395,1116.1887549382193,86.94296788331272
codigo,5,235.92883782508503,46.07098000031544,291.64159478856163,867.7454459003657,109.8077652117974
simulacro,1,224.57963321304933,47.65002350228794,506.8483530262759,1007.2266292744719,73.59817236052702
simulacro,2,219.82247984033256,49.980681621455595,833.830540254306,1084.989673569109,100.57257405740089
simulacro,3,213.77635130508673,49.93408054651761,649.6774028134967,969.4647302205001,86.94725510391194
simulacro,4,215.40284246489387,49.23451971880467,722.6363538330131,1008.8276897432229,83.30027393245938
simulacro,5,217.27636911535777,46.212451133873444,357.22363101465567,1015.8865791407206,90.44877599620317
rescate,1,230.3000211546149,44.74059005702607,1173.0166525686464,1931.411384870849,53.26869355708442
rescate,2,220.46347686249803,42.41480260549,816.7336102838005,1666.1324621108465,51.62529577050331
rescate,3,220.98354192421405,43.36121126728152,621.1845222547074,944.6131553601572,58.800415406022395
rescate,4,210.6178565836663,43.399231053614024,599.8214673087451,944.5973993535323,66.75009104507696
rescate,5,210.32613869885333,42.83032731224677,541.2603679844227,943.4040363366992,59.34287854507112
evacuacion,1,225.4858584158741,46.57443545074743,445.48245282599277,911.1423979350252,76.49845054015164
evacuacion,2,219.68253352074484,47.593281248679325,412.6328019195891,1047.8306615110769,74.82658583411191
evacuacion,3,219.60584841122844,46.50235010557077,488.54824773288715,962.2716635343284,65.5114158965068
evacuacion,4,212.25246399790856,46.83913243770863,664.0274901071007,1016.1168722414841,68.37921750344002
evacuacion,5,212.4209779044912,46.31567285824079,620.7134382091824,1118.8623817414118,70.1815511743818
sismico,1,262.97431774153324,39.77426989265382,291.9678743060582,922.9919484507908,67.09889901945513
sismico,2,228.56128841522403,40.818724907516895,283.57032137729016,972.7853472342433,73.57481789248159
sismico,3,264.12639950495463,41.84299382587313,284.74617991795515,979.6070483813644,83.13821701819657
sismico,4,251.0412360117594,42.593715769381696,337.2745776220885,960.5597724452822,92.43074315496882
sismico,5,231.70549683707944,40.07135541690395,293.88534717652215,941.9009266407712,91.55482223230997
replica,1,197.82687536306506,42.974525301098105,295.55144092982715,845.2963790263354,64.46383344845928
replica,2,175.63505545478543,40.93923004597362,310.6410164097926,1176.9894779317215,60.553377916527516
replica,3,207.80927360304727,40.16571851288851,323.36085082743386,1566.0170043569217,54.88545037499174
replica,4,224.4960068808175,40.9715740019501,295.1878076874467,1262.8912827888155,64.18318879365444
replica,5,232.27877529553822,44.723098858155915,237.55150935283677,1102.5446366485778,94.1960113393355
plan,1,242.33961043027088,48.20315557323307,676.4895153360048,971.7131420215362,75.22829491672393
plan,2,243.70144102849287,49.144038212603284,547.2023464930809,1135.0048312537108,64.41035781151143
plan,3,221.43061802007097,48.74691367674,636.8262166284885,774.5635658539456,80.31566410048481
plan,4,244.55857124015736,48.41630399387092,697.9246726576183,1126.3475701489554,73.85315392029345
plan,5,212.51982074253678,49.58067074442587,657.5614309157744,1003.6446688577496,61.833544680871235
