Palabra,Repeticion,F0_Promedio,Intensidad_dB,F1_Hz,F2_Hz,MFCC1_Mean
terremoto,1,196.78789547456398,45.668378801636884,322.6943104098652,1053.5084139628595,94.50482233237433
terremoto,2,211.54480587216335,44.5166499058161,306.5572102436654,1088.3635849440043,86.47816834713115
terremoto,3,200.85075129224143,44.4577616354352,232.56173809418488,974.5928557829263,91.74555739174909
terremoto,4,230.6088836797053,46.04169260315101,362.32320301838894,1023.8263575243581,102.64978077785415
terremoto,5,213.84307925815187,44.95403222176705,579.0807868956128,1077.6959298091338,100.53629412117704
erupcion,1,220.88140524514043,45.60623550703814,473.94687948945773,1523.7643716650189,80.88745696435254
erupcion,2,266.94933280563026,45.164517115525285,384.74935818826293,1558.3759743208182,79.77464865568129
erupcion,3,244.9187554470408,44.48402652469589,651.6088379250721,1545.7981192250238,80.11779476884402
erupcion,4,252.61022030673763,44.63238954046612,609.1566677035869,1786.9735899843647,72.2295611786115
erupcion,5,290.8094175578143,45.45736833918765,1437.320896133414,2196.074104814878,70.731664495792
albergue,1,210.49608690872324,47.71830460232903,446.91029484067866,1345.267542193038,65.27734351561632
albergue,2,240.20870913475102,43.20589768199562,272.7284226540214,1328.3597245439933,59.95194859846552
albergue,3,228.74169825026175,43.609507956111464,255.58718792343706,1488.9310377817799,62.59627021468699
albergue,4,225.54265499963347,44.44240446439723,516.132518390898,1193.2886180985313,68.18790716223191
albergue,5,214.84573856361814,45.50136246637814,631.316553966495,1087.50926721494,49.88073326640882
codigo,1,233.18239993306616,48.74082566563896,313.0804925775971,1334.5932322269935,122.11417502177194
codigo,2,227.82728316820698,44.092137674040956,452.7149159165194,1690.1605197073636,107.81138476390252
codigo,3,222.48724177937027,40.61731391101581,421.1060635044346,1841.0799290158184,101.10207797347219
codigo,4,277.07248040070635,43.984691987414095,504.9838749326693,1123.106154133577,86.94296788331272
codigo,5,233.97893820844078,46.07098000031544,301.9631298609442,1054.5628453640763,109.8077652117974
simulacro,1,225.43772934080272,47.65002350228794,546.5540185651322,1272.3406992047194,73.59817236052702
simulacro,2,219.99245879356843,49.980681621455595,840.925231094646,1233.3514380592758,100.57257405740089
simulacro,3,213.75166213981416,49.93408054651761,643.8723186107474,1196.7296802808646,86.94725510391194
simulacro,4,215.64924992456562,49.23451971880467,771.585889264754,1150.7973262996165,83.30027393245938
simulacro,5,216.55939298909988,46.212451133873444,389.70870648692846,1289.56758207896,90.44877599620317
rescate,1,219.41508679933924,44.74059005702607,767.1470797786238,1697.7366803593563,53.26869355708442
rescate,2,220.58091877065942,42.41480260549,813.1639795416518,1710.680069327072,51.62529577050331
rescate,3,220.69777225590752,43.36121126728152,775.9451630995329,914.403123196121,58.800415406022395
rescate,4,212.44012315169212,43.399231053614024,793.5982038440372,922.1797526715395,66.75009104507696
rescate,5,207.53009646009494,42.83032731224677,553.8646767618694,1306.8025214308507,59.34287854507112
evacuacion,1,232.17413812228827,46.57443545074743,759.7285258009221,989.6765148447996,76.49845054015164
evacuacion,2,233.38520628072416,47.593281248679325,446.24830968719345,1072.8331449945313,74.82658583411191
evacuacion,3,230.57151677300192,46.50235010557077,617.5809132274777,956.6748369226276,65.5114158965068
evacuacion,4,211.93177777118296,46.83913243770863,753.033625527245,1248.4115578233323,68.37921750344002
evacuacion,5,210.28351096542266,46.31567285824079,643.3859759085568,1311.5686619384926,70.1815511743818
sismico,1,297.6811779660451,39.77426989265382,301.9810893764246,1083.4197758667667,67.09889901945513
sismico,2,242.76482545579805,40.818724907516895,296.36763347557326,1031.470375669974,73.57481789248159
sismico,3,246.49799681897545,41.84299382587313,299.0647636280056,1197.9835517787665,83.13821701819657
sismico,4,247.69737229125366,42.593715769381696,348.63631344296726,1036.5421506981224,92.43074315496882
sismico,5,229.6043636953881,40.07135541690395,317.86119408870667,1042.357915199609,91.55482223230997
replica,1,213.3836013756386,42.974525301098105,314.0160083449182,1120.6983621799968,64.46383344845928
replica,2,176.34849145413546,40.93923004597362,320.40687525062606,1549.848648944802,60.553377916527516
replica,3,210.76452275689473,40.16571851288851,331.013634562614,1759.5853373289358,54.88545037499174
replica,4,224.67931034828717,40.9715740019501,306.64342695319596,1385.9171943474041,64.18318879365444
replica,5,232.44992427290276,44.723098858155915,253.50931008423998,1509.756876857597,94.1960113393355
plan,1,243.26092139627073,48.20315557323307,795.6841075049473,1023.0261802492952,75.22829491672393
plan,2,243.6285698595665,49.144038212603284,581.2750927482697,1376.1567013122587,64.41035781151143
plan,3,216.16121543510448,48.74691367674,693.8393603219247,1081.0126852662258,80.31566410048481
plan,4,245.2850610674006,48.41630399387092,657.6793248615469,1275.0684856040552,73.85315392029345
plan,5,245.38005120006545,49.58067074442587,717.1043485459221,1168.3227280090127,61.833544680871235
